Nombre de la tienda,Teléfono,Dirección,Ciudad,Código postal,Provincia,País,Página web,Google Maps,Latitud,Longitud
NÁUTICA A POUTADA,690 81 34 95,PASEO DAS CAROLINAS  8,RIBEIRA,15969,A Coruña,ES,https://www.apoutada.com/,"https://maps.google.com?daddr=PASEO%20DAS%20CAROLINAS%20%208,+RIBEIRA,+A%20Coru%C3%B1a+15969,+ES",42.56340155,-8.99169099
Ekaté Carballo,981 97 16 12,"Rúa Valle Inclán, 16",Carballo,15102,A Coruña,ES,https://www.ekate.es/,"https://maps.google.com?daddr=R%C3%BAa%20Valle%20Incl%C3%A1n%2C%2016,+Carballo,+A%20Coru%C3%B1a+15102,+ES",43.21244200,-8.69135100
El Corte Inglés,981 52 72 00,"Rúa do Restollal, 50",Santiago de Compostela,15702,A Coruña,ES,https://www.elcorteingles.es/helly-hansen/deportes/,"https://maps.google.com?daddr=R%C3%BAa%20do%20Restollal%2C%2050,+Santiago%20de%20Compostela,+A%20Coru%C3%B1a+15702,+ES",42.86255702,-8.54330140
ATLEET BARRANTES,629 38 61 52,"C/ Valle Inclan, 4",BARRANTES,36636,Pontevedra,ES,https://atleet.store/,"https://maps.google.com?daddr=C%2F%20Valle%20Inclan%2C%204,+BARRANTES,+Pontevedra+36636,+ES",42.50224940,-8.76846870
LOLITA MODA,,"RUA PARIS LOC.12B, AREA CENTRAL",SANTIAGO DE COMPOSTELA ,15707,GALICIA,ES,https://www.lolitamoda.com/,"https://maps.google.com?daddr=RUA%20PARIS%20LOC.12B%2C%20AREA%20CENTRAL,+SANTIAGO%20DE%20COMPOSTELA%20,+GALICIA+15707,+ES",42.87971500,-8.54228800
Lolita Moda,981 82 02 47,"Rúa Curro, 20",Noia,15200,A Coruña,ES,https://www.lolitamoda.com/,"https://maps.google.com?daddr=R%C3%BAa%20Curro%2C%2020,+Noia,+A%20Coru%C3%B1a+15200,+ES",42.78283720,-8.88735260
Lolita Moda,981 89 02 33,"Av. da Peregrina, 1",Bertamiráns,15220,La Coruña,ES,https://www.lolitamoda.com/,"https://maps.google.com?daddr=Av.%20da%20Peregrina%2C%201,+Bertamir%C3%A1ns,+La%20Coru%C3%B1a+15220,+ES",42.85946600,-8.65259100
Madison Av Concept Store,986 18 54 20,"Rúa do Alcalde Rey Daviña, 21",Vilagarcía de Arousa,36600,Pontevedra,ES,https://madisonav.es/,"https://maps.google.com?daddr=R%C3%BAa%20do%20Alcalde%20Rey%20Davi%C3%B1a%2C%2021,+Vilagarc%C3%ADa%20de%20Arousa,+Pontevedra+36600,+ES",42.59631000,-8.76426000
Deportes Caneda,981 57 52 78,"Rúa da Fonte de San Antonio, 25",Santiago de Compostela,15702,A Coruña,ES,https://www.patricksport.com/,"https://maps.google.com?daddr=R%C3%BAa%20da%20Fonte%20de%20San%20Antonio%2C%2025,+Santiago%20de%20Compostela,+A%20Coru%C3%B1a+15702,+ES",42.87770250,-8.54395140
Lolita Moda,981 84 43 34,"Rúa Doutor Santos Mieites, 8",Boiro,15938,La Coruña,ES,https://www.lolitamoda.com/,"https://maps.google.com?daddr=R%C3%BAa%20Doutor%20Santos%20Mieites%2C%208,+Boiro,+La%20Coru%C3%B1a+15938,+ES",42.64634000,-8.88421000
Florentino,981 74 51 24,"Avenida Fernando Blanco, 19",Cee,15270,A Coruña,ES,,"https://maps.google.com?daddr=Avenida%20Fernando%20Blanco%2C%2019,+Cee,+A%20Coru%C3%B1a+15270,+ES",42.95767383,-9.19196710
DOFER,981 74 72 47,AVENIDA FERNANDO BLANCO 13,CEE,15270,LA CORUÑA,ES,https://www.facebook.com/dofercee/,"https://maps.google.com?daddr=AVENIDA%20FERNANDO%20BLANCO%2013,+CEE,+LA%20CORU%C3%91A+15270,+ES",42.95770635,-9.19227135
EFECTOS NAVALES LITA,986 54 30 61,Almacen 7 - Lonxa,Cambados,36630,Pontevedra,ES,,"https://maps.google.com?daddr=Almacen%207%20-%20Lonxa,+Cambados,+Pontevedra+36630,+ES",42.51349346,-8.81265583
Lolita Moda Multimarca Ribeira,981 87 14 83,PLAZA PABLO NERUDA,"Ribeira, Galicia",15960,A Coruña,ES,https://www.lolitamoda.com/,"https://maps.google.com?daddr=PLAZA%20PABLO%20NERUDA,+Ribeira%2C%20Galicia,+A%20Coru%C3%B1a+15960,+ES",42.55466961,-8.99217629
Orza Nautica,986 51 18 81,"Rúa Edelmiro Trillo, 21",Vilagarcía de Arousa,36600,Pontevedra,ES,http://www.orzanautica.com/,"https://maps.google.com?daddr=R%C3%BAa%20Edelmiro%20Trillo%2C%2021,+Vilagarc%C3%ADa%20de%20Arousa,+Pontevedra+36600,+ES",42.59631000,-8.76426000
Codigo Denim,982 87 35 97,CC. As Termas,Lugo,27003,LUGO,ES,,"https://maps.google.com?daddr=CC.%20As%20Termas,+Lugo,+LUGO+27003,+ES",43.02360844,-7.56392862
SANJURJO MODA S.L.,982 51 06 06,"Rúa de Galicia, 24",Vilalba,27800,Lugo,ES,https://www.sanjurjomoda.com/,"https://maps.google.com?daddr=R%C3%BAa%20de%20Galicia%2C%2024,+Vilalba,+Lugo+27800,+ES",43.29635168,-7.68070016
LAGE MODA,981 50 00 97,C/ LUIS SEOANE 3,ARZUA,15810,LA CORUÑA,ES,https://www.confeccioneslage.com/,"https://maps.google.com?daddr=C%2F%20LUIS%20SEOANE%203,+ARZUA,+LA%20CORU%C3%91A+15810,+ES",42.92795260,-8.15960505
MEZCLA LUGO,982 25 00 79,"C/ Salvador de madariaga 14, R. San Pedro 33 BAJO",LUGO,27001,LUGO,ES,https://mezclalugo.com/,"https://maps.google.com?daddr=C%2F%20Salvador%20de%20madariaga%2014%2C%20R.%20San%20Pedro%2033%20BAJO,+LUGO,+LUGO+27001,+ES",43.01110260,-7.55583034
Baroncell SL,,"R. Alcalde Ferreiro, 4",Lalín,36519,Pontevedra,ES,https://www.baroncell.es/,"https://maps.google.com?daddr=R.%20Alcalde%20Ferreiro%2C%204,+Lal%C3%ADn,+Pontevedra+36519,+ES",42.66202900,-8.11222600
BEAGLE,982 56 34 48,AVDA CERVANTES 28B,VIVEIRO,27869,LUGO,ES,,"https://maps.google.com?daddr=AVDA%20CERVANTES%2028B,+VIVEIRO,+LUGO+27869,+ES",43.66289895,-7.59422160
El Corte Inglés,981 18 93 50,"Estrada Baños de Arteixo, 43",A Coruña,15008,,ES,https://www.elcorteingles.es/helly-hansen/deportes/,"https://maps.google.com?daddr=Estrada%20Ba%C3%B1os%20de%20Arteixo%2C%2043,+A%20Coru%C3%B1a,++15008,+ES",43.34408710,-8.42775138
Pombo,981 24 53 19,"Av. Primo de Rivera, 8",La Coruña,15006,,ES,,"https://maps.google.com?daddr=Av.%20Primo%20de%20Rivera%2C%208,+La%20Coru%C3%B1a,++15006,+ES",43.35961900,-8.40355500
URBAN STYLE,655 25 17 15,C/ REAL 130 BAJO,FERROL,15402,LA CORUÑA,ES,https://www.urbanstyleferrol.es/,"https://maps.google.com?daddr=C%2F%20REAL%20130%20BAJO,+FERROL,+LA%20CORU%C3%91A+15402,+ES",43.48292575,-8.23592470
¡Hola! Ola,981 27 93 01,"Rúa Alfredo Vicenti, 32",A Coruña,15004,,ES,http://holaola.surf,"https://maps.google.com?daddr=R%C3%BAa%20Alfredo%20Vicenti%2C%2032,+A%20Coru%C3%B1a,++15004,+ES",43.36716500,-8.41219700
¡HOLA! OLA Surf Shop Ribadeo,982 12 84 24,"Av. Leopoldo Calvo Sotelo, nº 5 y 20",Ribadeo,27700,Lugo,ES,http://holaola.surf,"https://maps.google.com?daddr=Av.%20Leopoldo%20Calvo%20Sotelo%2C%20n%C2%BA%205%20y%2020,+Ribadeo,+Lugo+27700,+ES",43.53684000,-7.04065000
mezcla,982 25 00 79,"Rúa Salvador de Madariaga, 14",Lugo,27002,,ES,https://mezclalugo.com/,"https://maps.google.com?daddr=R%C3%BAa%20Salvador%20de%20Madariaga%2C%2014,+Lugo,++27002,+ES",43.00636100,-7.55497300
Doble M,982 41 08 91,"Rúa do Comercio, 7",Monforte de Lemos,27400,Lugo,ES,,"https://maps.google.com?daddr=R%C3%BAa%20do%20Comercio%2C%207,+Monforte%20de%20Lemos,+Lugo+27400,+ES",42.52228000,-7.51351000
¡HOLA! OLA Surf Shop Foz,982 14 08 64,"Rúa Martínez Otero, 2",Foz,27780,Lugo,ES,http://holaola.surf,"https://maps.google.com?daddr=R%C3%BAa%20Mart%C3%ADnez%20Otero%2C%202,+Foz,+Lugo+27780,+ES",43.56681000,-7.25936000
Moda Vilaboy,981 45 06 32,RAMON CABANILLAS 15,Puentes de García Rodríguez,15320,La Coruña,ES,https://vilaboymoda.com/,"https://maps.google.com?daddr=RAMON%20CABANILLAS%2015,+Puentes%20de%20Garc%C3%ADa%20Rodr%C3%ADguez,+La%20Coru%C3%B1a+15320,+ES",43.44946500,-7.85411800
CAMPOBASE,647 75 94 01,QUIROGA BALLESTEROS 19 BAJO,LUGO,27001,Lugo,ES,,"https://maps.google.com?daddr=QUIROGA%20BALLESTEROS%2019%20BAJO,+LUGO,+Lugo+27001,+ES",43.01347145,-7.55906765
Jimmy,600 48 07 43,"Av. de Monforte, 14-16",Chantada,27500,Lugo,ES,,"https://maps.google.com?daddr=Av.%20de%20Monforte%2C%2014-16,+Chantada,+Lugo+27500,+ES",42.60947610,-7.76982660
base: Todo Deporte,981 77 06 34,"Rúa Profesor José Antonio Míguez, 1",Betanzos,15300,A Coruña,ES,https://www.instagram.com/grupotododeporte/,"https://maps.google.com?daddr=R%C3%BAa%20Profesor%20Jos%C3%A9%20Antonio%20M%C3%ADguez%2C%201,+Betanzos,+A%20Coru%C3%B1a+15300,+ES",43.27770905,-8.21147135
Thebes,986 57 22 48,"Rúa Calvo Sotelo, 19",A Estrada,36680,Pontevedra,ES,https://thebesmoda.com/,"https://maps.google.com?daddr=R%C3%BAa%20Calvo%20Sotelo%2C%2019,+A%20Estrada,+Pontevedra+36680,+ES",42.69004530,-8.48912400
JOSEFINA RODRIGUEZ QUIROGA,981 45 06 32,"Rua Calvo Sotelo, 90",Sarria,27600,Lugo,ES,,"https://maps.google.com?daddr=Rua%20Calvo%20Sotelo%2C%2090,+Sarria,+Lugo+27600,+ES",42.78026610,-7.41298993
MARINA SADA,981 61 90 15,"Avenida do Porto, s/n",Sada,15160,A Coruña,ES,,"https://maps.google.com?daddr=Avenida%20do%20Porto%2C%20s%2Fn,+Sada,+A%20Coru%C3%B1a+15160,+ES",43.35773685,-8.24955565
